Test case,N = ?,Output,Running Time,Nearly Optimal Route
0,2,11,0.02791118621826172,"[1, 2]"
1,2,5,0.02383708953857422,"[2, 1]"
2,2,8,0.01625990867614746,"[1, 2]"
3,2,No feasible solution,0.0077283382415771484,No route
4,4,13,0.016009807586669922,"[4, 2, 1, 3]"
5,4,31,0.024010419845581055,"[3, 1, 2, 4]"
6,4,25,0.024857759475708008,"[2, 3, 4, 1]"
7,4,24,0.027540922164916992,"[2, 3, 4, 1]"
8,6,15,0.032181739807128906,"[5, 1, 3, 6, 2, 4]"
9,6,40,0.023823261260986328,"[4, 5, 2, 1, 3, 6]"
10,6,No feasible solution,0.007986307144165039,No route
11,6,47,0.032016754150390625,"[6, 3, 1, 5, 2, 4]"
12,8,25,0.048007965087890625,"[8, 5, 1, 4, 6, 2, 3, 7]"
13,8,33,0.0401759147644043,"[5, 6, 3, 4, 7, 1, 8, 2]"
14,8,65,0.07182192802429199,"[8, 7, 5, 3, 1, 4, 2, 6]"
15,8,38,0.05602240562438965,"[6, 1, 8, 4, 5, 2, 3, 7]"
16,10,48,0.08556866645812988,"[8, 1, 6, 9, 10, 7, 4, 5, 2, 3]"
17,10,43,0.07281947135925293,"[8, 3, 2, 9, 4, 5, 10, 6, 7, 1]"
18,10,43,0.07973980903625488,"[2, 7, 4, 8, 1, 10, 3, 9, 6, 5]"
19,10,44,0.1051783561706543,"[10, 8, 6, 3, 5, 1, 4, 7, 9, 2]"
20,12,55,0.10524296760559082,"[11, 3, 2, 5, 8, 1, 7, 10, 9, 6, 12, 4]"
21,12,55,1.181976079940796,"[8, 1, 2, 10, 11, 12, 5, 3, 9, 7, 6, 4]"
22,12,40,0.1388096809387207,"[11, 7, 4, 10, 3, 1, 2, 9, 12, 5, 8, 6]"
23,12,45,0.09334778785705566,"[3, 5, 1, 8, 2, 10, 4, 11, 6, 7, 9, 12]"
24,14,No feasible solution,0.0879678726196289,No route
25,14,No feasible solution,0.0720207691192627,No route
26,14,64,1.1183545589447021,"[14, 1, 7, 2, 6, 11, 9, 5, 4, 12, 13, 8, 10, 3]"
27,14,67,66.02054142951965,"[13, 12, 8, 14, 2, 3, 9, 4, 7, 1, 10, 5, 11, 6]"
