Test case,N = ?,Output,Running Time,Nearly Optimal Route
0,2,11,0.0,"[1, 2]"
1,2,5,0.0010058879852294922,"[2, 1]"
2,2,No feasible solution,0.0,No route
3,2,No feasible solution,0.0,No route
4,4,No feasible solution,0.000993967056274414,No route
5,4,No feasible solution,0.0,No route
6,4,No feasible solution,0.0,No route
7,4,25,0.0,"[3, 2, 1, 4]"
8,6,15,0.0,"[5, 1, 3, 6, 2, 4]"
9,6,No feasible solution,0.0,No route
10,6,No feasible solution,0.0,No route
11,6,No feasible solution,0.0,No route
12,8,No feasible solution,0.0,No route
13,8,No feasible solution,0.0,No route
14,8,No feasible solution,0.0,No route
15,8,No feasible solution,0.0,No route
16,10,No feasible solution,0.0,No route
17,10,No feasible solution,0.0,No route
18,10,No feasible solution,0.0,No route
19,10,No feasible solution,0.00099945068359375,No route
20,12,No feasible solution,0.0009999275207519531,No route
21,12,No feasible solution,0.0009999275207519531,No route
22,12,No feasible solution,0.0010001659393310547,No route
23,12,No feasible solution,0.0010006427764892578,No route
24,14,No feasible solution,0.0010008811950683594,No route
25,14,No feasible solution,0.0009996891021728516,No route
26,14,No feasible solution,0.0010008811950683594,No route
27,14,No feasible solution,0.0,No route
28,16,No feasible solution,0.00099945068359375,No route
29,16,No feasible solution,0.0,No route
30,16,No feasible solution,0.0009958744049072266,No route
31,16,No feasible solution,0.0,No route
32,18,No feasible solution,0.0010008811950683594,No route
33,18,No feasible solution,0.0,No route
34,18,No feasible solution,0.0,No route
35,18,No feasible solution,0.0009992122650146484,No route
36,20,No feasible solution,0.0010013580322265625,No route
37,20,No feasible solution,0.0,No route
38,20,No feasible solution,0.0010025501251220703,No route
39,20,No feasible solution,0.0,No route
40,22,No feasible solution,0.0009989738464355469,No route
41,22,No feasible solution,0.0,No route
42,22,No feasible solution,0.0010023117065429688,No route
43,22,No feasible solution,0.0010023117065429688,No route
44,24,No feasible solution,0.0,No route
45,24,No feasible solution,0.0,No route
46,24,No feasible solution,0.00099945068359375,No route
47,24,No feasible solution,0.0013473033905029297,No route
48,26,No feasible solution,0.0010066032409667969,No route
49,26,No feasible solution,2.8371810913085938e-05,No route
50,26,No feasible solution,0.0010018348693847656,No route
51,26,No feasible solution,0.0009982585906982422,No route
52,28,No feasible solution,0.0005223751068115234,No route
53,28,No feasible solution,0.0,No route
54,28,No feasible solution,0.0,No route
55,28,No feasible solution,0.001001119613647461,No route
56,30,No feasible solution,0.001001119613647461,No route
57,30,No feasible solution,0.0,No route
58,30,No feasible solution,0.0009937286376953125,No route
59,30,No feasible solution,0.0010025501251220703,No route
60,32,No feasible solution,0.0,No route
61,32,No feasible solution,0.0010013580322265625,No route
62,32,No feasible solution,0.0009989738464355469,No route
63,32,No feasible solution,0.0009989738464355469,No route
64,34,No feasible solution,0.0010008811950683594,No route
65,34,No feasible solution,0.0,No route
66,34,No feasible solution,0.0010001659393310547,No route
67,34,No feasible solution,0.001001119613647461,No route
68,36,No feasible solution,0.001001119613647461,No route
69,36,No feasible solution,0.0,No route
70,36,No feasible solution,0.0009999275207519531,No route
71,36,No feasible solution,0.0,No route
72,38,No feasible solution,0.0010008811950683594,No route
73,38,No feasible solution,0.001001119613647461,No route
74,38,No feasible solution,0.0009996891021728516,No route
75,38,No feasible solution,0.0009996891021728516,No route
76,40,No feasible solution,0.001001596450805664,No route
77,40,No feasible solution,0.000997781753540039,No route
78,40,No feasible solution,0.0009989738464355469,No route
79,40,No feasible solution,0.0009989738464355469,No route
80,42,No feasible solution,0.0010025501251220703,No route
81,42,No feasible solution,0.0009984970092773438,No route
82,42,No feasible solution,0.0010006427764892578,No route
83,42,No feasible solution,0.0009989738464355469,No route
84,44,No feasible solution,0.0010008811950683594,No route
85,44,No feasible solution,0.001001119613647461,No route
86,44,No feasible solution,0.0009937286376953125,No route
87,44,No feasible solution,0.0010061264038085938,No route
88,46,No feasible solution,0.0009989738464355469,No route
89,46,No feasible solution,0.0009982585906982422,No route
90,46,No feasible solution,0.0010004043579101562,No route
91,46,No feasible solution,0.0009992122650146484,No route
92,48,No feasible solution,0.0010006427764892578,No route
93,48,No feasible solution,0.002000093460083008,No route
94,48,No feasible solution,0.001001596450805664,No route
95,48,No feasible solution,0.001001119613647461,No route
96,50,No feasible solution,0.0010006427764892578,No route
97,50,No feasible solution,0.001001596450805664,No route
98,50,No feasible solution,0.0010020732879638672,No route
99,50,No feasible solution,0.0010008811950683594,No route
