Test case,N = ?,Output,Running Time,Nearly Optimal Route
0,2,11,0.013006925582885742,"[1, 2]"
1,2,5,0.016021728515625,"[2, 1]"
2,2,8,0.01537013053894043,"[1, 2]"
3,2,No feasible solution,0.001999378204345703,No route
4,4,13,0.014023065567016602,"[4, 2, 1, 3]"
5,4,31,0.013772010803222656,"[3, 1, 2, 4]"
6,4,25,0.01401209831237793,"[2, 3, 4, 1]"
7,4,24,0.01573324203491211,"[2, 3, 4, 1]"
8,6,15,0.028909921646118164,"[5, 1, 3, 6, 2, 4]"
9,6,40,0.027832984924316406,"[4, 5, 2, 1, 3, 6]"
10,6,No feasible solution,0.0060122013092041016,No route
11,6,47,0.024169921875,"[6, 3, 1, 5, 2, 4]"
12,8,25,0.030834674835205078,"[8, 5, 1, 4, 6, 2, 3, 7]"
13,8,33,0.044289350509643555,"[5, 6, 3, 4, 7, 1, 8, 2]"
14,8,65,0.06201291084289551,"[8, 7, 5, 3, 1, 4, 2, 6]"
15,8,38,0.02978801727294922,"[6, 1, 8, 4, 5, 2, 3, 7]"
16,10,48,0.06009650230407715,"[8, 1, 6, 9, 10, 7, 4, 5, 2, 3]"
17,10,43,0.11022806167602539,"[8, 3, 2, 9, 4, 5, 10, 6, 7, 1]"
18,10,43,0.06142401695251465,"[2, 7, 4, 8, 1, 10, 3, 9, 6, 5]"
19,10,44,0.05954933166503906,"[10, 8, 6, 3, 5, 1, 4, 7, 9, 2]"
20,12,55,0.06401729583740234,"[11, 3, 2, 5, 8, 1, 7, 10, 9, 6, 12, 4]"
21,12,55,0.5811033248901367,"[8, 1, 2, 10, 11, 12, 5, 3, 9, 7, 6, 4]"
22,12,40,0.06803393363952637,"[11, 7, 4, 10, 3, 1, 2, 9, 12, 5, 8, 6]"
23,12,45,0.07648396492004395,"[3, 5, 1, 8, 2, 10, 4, 11, 6, 7, 9, 12]"
24,14,No feasible solution,0.0780181884765625,No route
25,14,No feasible solution,0.05956268310546875,No route
26,14,64,0.989795446395874,"[14, 1, 7, 2, 6, 11, 9, 5, 4, 12, 13, 8, 10, 3]"
27,14,67,76.22024035453796,"[13, 12, 8, 14, 2, 3, 9, 4, 7, 1, 10, 5, 11, 6]"
