Test case,N = ?,Output,Running Time,Optimal Route
0,2,11,0.0,"[1, 2]"
1,2,5,0.001001596450805664,"[2, 1]"
2,2,8,0.0,"[1, 2]"
3,2,No feasible solution,0.0,No route
4,4,13,0.0,"[4, 2, 1, 3]"
5,4,31,0.0,"[3, 1, 2, 4]"
6,4,25,0.0,"[2, 3, 4, 1]"
7,4,24,0.00099945068359375,"[2, 3, 4, 1]"
8,6,15,0.002997875213623047,"[5, 1, 3, 6, 2, 4]"
9,6,40,0.0020008087158203125,"[4, 5, 2, 1, 3, 6]"
10,6,No feasible solution,0.001998424530029297,No route
11,6,47,0.003000497817993164,"[6, 3, 1, 5, 2, 4]"
12,8,25,0.14503145217895508,"[8, 5, 1, 4, 6, 2, 3, 7]"
13,8,33,0.13203024864196777,"[5, 6, 3, 4, 7, 1, 8, 2]"
14,8,65,0.13202333450317383,"[8, 7, 5, 3, 1, 4, 2, 6]"
15,8,38,0.15503478050231934,"[6, 1, 8, 4, 5, 2, 3, 7]"
16,10,48,11.500954389572144,"[8, 1, 6, 9, 10, 7, 4, 5, 2, 3]"
17,10,43,14.89488959312439,"[8, 3, 2, 9, 4, 5, 10, 6, 7, 1]"
18,10,43,12.521984577178955,"[2, 7, 4, 8, 1, 10, 3, 9, 6, 5]"
19,10,44,12.601548433303833,"[10, 8, 6, 3, 5, 1, 4, 7, 9, 2]"
