Test case,N = ?,Output,Running Time,Optimal Route
0,2,11,0.0,"[1, 2]"
1,2,5,0.0,"[2, 1]"
2,2,8,0.0,"[1, 2]"
3,2,No feasible solution,0.0,No route
4,4,13,0.0,"[4, 2, 1, 3]"
5,4,31,0.0010018348693847656,"[3, 1, 2, 4]"
6,4,25,0.0009996891021728516,"[2, 3, 4, 1]"
7,4,24,0.0,"[2, 3, 4, 1]"
8,6,15,0.001001119613647461,"[5, 1, 3, 6, 2, 4]"
9,6,40,0.0010004043579101562,"[4, 5, 2, 1, 3, 6]"
10,6,No feasible solution,0.0020041465759277344,No route
11,6,47,0.0010025501251220703,"[6, 3, 1, 5, 2, 4]"
12,8,25,0.00700068473815918,"[8, 5, 1, 4, 6, 2, 3, 7]"
13,8,33,0.006003856658935547,"[5, 6, 3, 4, 7, 1, 8, 2]"
14,8,65,0.014506340026855469,"[8, 7, 5, 3, 1, 4, 2, 6]"
15,8,38,0.0130157470703125,"[6, 1, 8, 4, 5, 2, 3, 7]"
16,10,48,0.0880272388458252,"[8, 1, 6, 9, 10, 7, 4, 5, 2, 3]"
17,10,43,0.3375575542449951,"[8, 3, 2, 9, 4, 5, 10, 6, 7, 1]"
18,10,43,0.07645201683044434,"[2, 7, 4, 8, 1, 10, 3, 9, 6, 5]"
19,10,44,0.23660516738891602,"[10, 8, 6, 3, 5, 1, 4, 7, 9, 2]"
20,12,55,6.182932376861572,"[11, 3, 2, 5, 8, 1, 7, 10, 9, 6, 12, 4]"
21,12,55,3.9464783668518066,"[2, 1, 10, 11, 12, 5, 8, 9, 7, 6, 4, 3]"
22,12,40,2.0714995861053467,"[11, 7, 4, 10, 3, 1, 2, 9, 12, 5, 8, 6]"
23,12,45,1.9501187801361084,"[3, 5, 1, 8, 2, 10, 4, 11, 6, 7, 9, 12]"
24,14,No feasible solution,4.7519659996032715,No route
25,14,No feasible solution,1.1879479885101318,No route
26,14,64,26.046062707901,"[14, 1, 7, 2, 6, 11, 9, 5, 4, 12, 13, 8, 10, 3]"
27,14,67,71.70992469787598,"[13, 12, 8, 14, 2, 3, 9, 4, 7, 1, 10, 5, 11, 6]"
