Test case,N = ?,Output,Running Time,Nearly Optimal Route
0,2,11,0.004999637603759766,"[0, 1, 2]"
1,2,5,0.005007505416870117,"[0, 2, 1]"
2,2,4,0.0070040225982666016,"[0, 2, 1]"
3,2,14,0.00499272346496582,"[0, 2, 1]"
4,4,11,0.008002281188964844,"[0, 2, 1, 3, 4]"
5,4,18,0.00601506233215332,"[0, 3, 4, 1, 2]"
6,4,23,0.006001710891723633,"[0, 1, 4, 3, 2]"
7,4,25,0.006014347076416016,"[0, 3, 2, 1, 4]"
8,6,15,0.0050106048583984375,"[0, 5, 1, 3, 6, 2, 4]"
9,6,34,0.008004188537597656,"[0, 2, 1, 3, 5, 6, 4]"
10,6,No feasible solution,0.009001493453979492,No route
11,6,43,0.011005163192749023,"[0, 5, 3, 1, 2, 4, 6]"
12,8,20,0.011000871658325195,"[0, 8, 5, 1, 4, 3, 2, 6, 7]"
13,8,20,0.010003805160522461,"[0, 4, 7, 5, 6, 3, 2, 8, 1]"
14,8,39,0.010001182556152344,"[0, 4, 6, 8, 2, 3, 5, 7, 1]"
15,8,48,0.010002851486206055,"[0, 2, 3, 1, 5, 4, 8, 6, 7]"
16,10,34,0.008999347686767578,"[0, 9, 5, 2, 8, 1, 6, 7, 10, 4, 3]"
17,10,35,0.012002229690551758,"[0, 1, 6, 7, 9, 10, 5, 4, 2, 3, 8]"
18,10,32,0.011003494262695312,"[0, 3, 10, 7, 2, 4, 8, 9, 6, 5, 1]"
19,10,39,0.009001970291137695,"[0, 9, 10, 2, 8, 6, 3, 5, 4, 1, 7]"
