Test case,N = ?,Output,Running Time,Nearly Optimal Route
0,2,11,0.0,"[1, 2]"
1,2,5,0.0,"[2, 1]"
2,2,8,0.0,"[1, 2]"
3,2,No feasible solution,0.0,No route
4,4,13,0.0029993057250976562,"[4, 2, 1, 3]"
5,4,31,0.0019986629486083984,"[3, 1, 2, 4]"
6,4,25,0.0010058879852294922,"[2, 3, 4, 1]"
7,4,24,0.002000093460083008,"[2, 3, 4, 1]"
8,6,15,0.01098942756652832,"[5, 1, 3, 6, 2, 4]"
9,6,40,0.017001867294311523,"[4, 5, 2, 1, 3, 6]"
10,6,No feasible solution,0.008001327514648438,No route
11,6,47,0.020017385482788086,"[6, 3, 1, 5, 2, 4]"
12,8,25,0.1310281753540039,"[8, 5, 1, 4, 6, 2, 3, 7]"
13,8,33,0.13202857971191406,"[5, 6, 3, 4, 7, 1, 8, 2]"
14,8,No feasible solution,0.05402565002441406,No route
15,8,38,0.14704465866088867,"[6, 1, 8, 4, 5, 2, 3, 7]"
16,10,48,0.7828719615936279,"[8, 1, 6, 9, 10, 7, 4, 5, 2, 3]"
17,10,43,0.950958251953125,"[8, 3, 2, 9, 4, 5, 10, 6, 7, 1]"
18,10,44,0.516796350479126,"[1, 4, 7, 2, 10, 8, 9, 6, 5, 3]"
19,10,44,0.8449058532714844,"[10, 8, 6, 3, 5, 1, 4, 7, 9, 2]"
20,12,55,3.0137929916381836,"[11, 3, 2, 5, 8, 1, 7, 10, 9, 6, 12, 4]"
21,12,55,4.223389625549316,"[8, 1, 2, 10, 11, 12, 5, 3, 9, 7, 6, 4]"
22,12,40,3.6882264614105225,"[11, 7, 4, 10, 3, 1, 2, 9, 12, 5, 8, 6]"
23,12,46,5.393655300140381,"[3, 10, 1, 8, 2, 7, 5, 4, 11, 6, 12, 9]"
24,14,No feasible solution,1.8143925666809082,No route
25,14,No feasible solution,2.121887683868408,No route
26,14,No feasible solution,2.137683153152466,No route
27,14,No feasible solution,2.4723129272460938,No route
